dataset,split,n_patients,n_slices
basel-mp2rage,test,11,286
basel-mp2rage,train,81,2106
basel-mp2rage,val,11,286
basel-mp2rage,TOTAL,103,2678
canproco,test,43,2091
canproco,train,336,16693
canproco,val,43,2163
canproco,TOTAL,422,20947
data-multi-subject,test,49,4330
data-multi-subject,train,158,13987
data-multi-subject,val,36,3158
data-multi-subject,TOTAL,243,21475
dcm-brno,test,16,553
dcm-brno,train,121,4225
dcm-brno,val,16,639
dcm-brno,TOTAL,153,5417
dcm-zurich-lesions,test,2,16
dcm-zurich-lesions,train,10,138
dcm-zurich-lesions,val,2,19
dcm-zurich-lesions,TOTAL,14,173
dcm-zurich-lesions-20231115,test,5,30
dcm-zurich-lesions-20231115,train,32,174
dcm-zurich-lesions-20231115,val,5,40
dcm-zurich-lesions-20231115,TOTAL,42,244
lumbar-epfl,test,3,75
lumbar-epfl,train,16,400
lumbar-epfl,val,2,50
lumbar-epfl,TOTAL,21,525
lumbar-vanderbilt,test,6,42
lumbar-vanderbilt,train,41,287
lumbar-vanderbilt,val,6,42
lumbar-vanderbilt,TOTAL,53,371
sci-colorado,test,8,118
sci-colorado,train,64,976
sci-colorado,val,8,135
sci-colorado,TOTAL,80,1229
sci-paris,test,2,56
sci-paris,train,10,279
sci-paris,val,2,56
sci-paris,TOTAL,14,391
sci-zurich,test,8,231
sci-zurich,train,63,2476
sci-zurich,val,7,192
sci-zurich,TOTAL,78,2899
sct-testing-large,test,36,1191
sct-testing-large,train,121,3808
sct-testing-large,val,16,418
sct-testing-large,TOTAL,173,5417
TOTAL,ALL,1361,61766
